 names equipos
RW RM" "AFC Bournemouth"
1632 "E. Valencia
ST RW LW" "Fenerbahçe SK"
1633 "Á. Romero
ST LW LM" "Cruz Azul"
1634 "M. Dúbravka
GK" "Newcastle United"
1635 "M. Zaccagni
LW CF" Lazio
1636 "L. Venuti
RB RWB RM" Fiorentina
1637 "A. Živković
RW LW RM" PAOK
1638 "A. Čolak
ST" PAOK
1639 "C. Starfelt
CB" Celtic
1640 "M. Malsa
CM CDM" "Levante Unión Deportiva"
1641 "É. Gutiérrez
CM CDM" PSV
1642 "R. Borré
ST" "Eintracht Frankfurt"
1643 "N. Eliasson
LM RM" "Nîmes Olympique"
1644 "N. Keïta
CM" Liverpool
1645 "N. Vukčević
CM CDM" "Levante Unión Deportiva"
1646 "M. Oršić
LM LW ST" "Dinamo Zagreb"
1647 "N. Elvedi
CB" "Borussia Mönchengladbach"
1648 "L. Mousset
ST" "US Salernitana 1919"
1649 "O. Watkins
ST LW" "Aston Villa"
1650 "A. Morelos
ST" "Rangers FC"
1651 "M. Sobottka
CDM CM" "Fortuna Düsseldorf"
1652 "Jin Jingdao
RM CAM CM" "Shandong Taishan"
1653 "J. Staněk
GK" "FC Viktoria Plzeň"
1654 "J. Weigl
CM CDM" "SL Benfica"
1655 "J. Onomah
CM CAM" Fulham
1656 "T. Adarabioyo
CB" Fulham
1657 "P. Berg
CM" "Racing Club de Lens"
1658 "B. Embolo
ST CAM" "Borussia Mönchengladbach"
1659 "T. Castagne
RB LB" "Leicester City"
1660 "B. Schmitz
RB CB" "1. FC Köln"
1661 "Everton
LM RM" "SL Benfica"
1662 "Y. Erdoğan
RW LW LB" Trabzonspor
1663 "D. Oberlin
ST RW LW" "Servette FC"
1664 "E. Ünal
ST" "Getafe CF"
1665 "S. Becker
ST RM" "1. FC Union Berlin"
1666 "J. Rodríguez
ST" "Al Nassr"
1667 "S. Milinković-Savić
CM CDM CAM" Lazio
1668 "David Soria
GK" "Getafe CF"
1669 "L. Torreira
CDM CM" Fiorentina
1670 "Dyego Sousa
ST" "Unión Deportiva Almería"
1671 "Borja Iglesias
ST" "Real Betis Balompié"
1672 "J. Andersen
CB" "Crystal Palace"
1673 "C. Pavón
LW RW LM" "Boca Juniors"
1674 "J. Kenny
RB LB" Everton
1675 "G. Jones
RB CB" "Bolton Wanderers"
1676 "S. Wright
RW LW CAM" "Rangers FC"
1677 "I. Provedel
GK" Spezia
1678 "G. Castrovilli
CM" Fiorentina
1679 "J. Bamba
LM" "LOSC Lille"
1680 "Garry Rodrigues
LM LW RW" "Olympiacos CFP"
1681 "J. Hofmann
CAM RM LM" "Borussia Mönchengladbach"
1682 "R. Ghezzal
RW RM" "Beşiktaş JK"
1683 "A. Belmonte
CDM CM" "Grenoble Foot 38"
1684 "C. Nørgaard
CDM CM CB" Brentford
1685 "B. Verstraete
CDM CM" "Royal Antwerp FC"
1686 "Rubén García
LM ST" "CA Osasuna"
1687 "Rubén Blanco
GK" "RC Celta de Vigo"
1688 "21
 M. Palmer
CM CDM" "Swindon Town"
1689 "D. Rugani
CB" Juventus
1690 "D. Cataldi
CDM CM" Lazio
1691 "T. Lawrence
LM ST CAM" "Derby County"
1692 "P. Gollini
GK" "Tottenham Hotspur"
1693 "K. Demirbay
CM CDM" "Bayer 04 Leverkusen"
1694 "K. Akpoguma
CB RWB" "TSG Hoffenheim"
1695 "D. Heuer Fernandes
GK" "Hamburger SV"
1696 "N. Stanciu
CAM CM CDM" Romania
1697 "T. Mings
CB" "Aston Villa"
1698 "L. Dendoncker
CM CB" "Wolverhampton Wanderers"
1699 "Santi Mina
ST" "RC Celta de Vigo"
1700 "D. Selke
ST" "Hertha BSC"
1701 "M. Lemina
CM CDM" "OGC Nice"
1702 "Hernâni
RM LM" "Unión Deportiva Las Palmas"
1703 "Róber
CB CDM" "Levante Unión Deportiva"
1704 "D. Origi
ST LW" Liverpool
1705 "K. Acosta
CM CDM" "Los Angeles FC"
1706 "N. Bentaleb
CDM CM" "Angers SCO"
1707 "F. Tait
CM LM" "Stade Rennais FC"
1708 "A. Iwobi
RM LM CAM" Everton
1709 "A. Hamdallah
ST" "Al Ittihad"
1710 "E. Sobol
LB LM" "Club Brugge KV"
1711 "A. Miranchuk
CAM CF" Atalanta
1712 "Y. Chará
CAM LM RM" "Portland Timbers"
1713 "J. Toljan
RB LB" "U.S. Sassuolo Calcio"
1714 "J. Karlström
CDM" "Lech Poznań"
1715 "M. Rodríguez
LW CAM" "Altay SK"
1716 "J. Gbamin
CDM CM" "PFC CSKA Moscow"
1717 "L. Zelarayán
CAM" "Columbus Crew"
1718 "P. Zinckernagel
CAM RW CM" "Nottingham Forest"
1719 "R. Skov
RM LWB LB" "TSG Hoffenheim"
1720 "B. Petković
ST CAM" "Dinamo Zagreb"
1721 "Henrique Dourado
ST" "Henan Songshan Longmen FC"
1722 "Quintillà
LB LM" "CD Leganés"
1723 "D. Zappacosta
RWB RM LM" Atalanta
1724 "J. Seri
CDM CM" Fulham
1725 "J. Giménez
CB" "Atlético de Madrid"
1726 "Morales
LM ST" "Levante Unión Deportiva"
1727 "Paulinho
ST" "Sporting CP"
1728 "A. Sørloth
ST" "Real Sociedad"
1729 "W. Hoedt
CB" "RSC Anderlecht"
1730 "G. Simeone
ST" "Hellas Verona"
1731 "Peng Xinli
CM CAM CDM" "Shanghai Shenhua FC"
1732 "G. Haraguchi
CAM CM LM" "1. FC Union Berlin"
1733 "M. Barragán
ST" "Puebla FC"
1734 "G. Di Lorenzo
RB" Napoli
1735 "T. Bongonda
LW" "KRC Genk"
1736 "D. Ndong
CDM CM" "Dijon FCO"
1737 "M. Targett
LB" "Newcastle United"
1738 "G. Maripán
CB" "AS Monaco"
1739 "I. Pussetto
ST" "Udinese Calcio"
1740 "G. Krychowiak
CDM CM" "AEK Athens"
1741 "J. Martin
CM CDM" "Stade Rennais FC"
1742 "M. Perin
GK" Juventus
1743 "L. Bacuna
CM RW RWB" "Cardiff City"
1744 "R. Funes Mori
ST" "CF Monterrey"
1745 "Jonathan Viera
CAM CM ST" "Unión Deportiva Las Palmas"
1746 "F. Midtsjø
CM CDM" "AZ Alkmaar"
1747 "J. Williams
CAM CM" "Swindon Town"
1748 "B. Wright
CB" Sunderland
1749 "D. D'Ambrosio
CB RB" Inter
1750 "21
 Ibai Gómez
RM LM RW" "Athletic Club de Bilbao"
1751 "M. Gregoritsch
ST CAM" "FC Augsburg"
1752 "M. van Ginkel
CM CDM" PSV
1753 "S. Berghuis
CAM RW" Ajax
1754 "Guilherme
RM CAM" "Guangzhou City"
1755 "J. Schlupp
LM CM" "Crystal Palace"
1756 "B. Dejaegere
CM" "Toulouse Football Club"
1757 "Gabriel Paulista
CB" "Valencia CF"
1758 "K. McLean
CM CDM" "Norwich City"
1759 "M. Doherty
RWB RB" "Tottenham Hotspur"
1760 "F. Ghoulam
LB" Napoli
1761 "L. Kurzawa
LB" "Paris Saint-Germain"
1762 "J. Veretout
CDM CM" Roma
1763 "A. Fiola
RB CB LB" Hungary
1764 "B. Afobe
ST" Millwall
1765 "T. Meunier
RB RM" "Borussia Dortmund"
1766 "Sergi Darder
CM CDM CAM" "RCD Espanyol de Barcelona"
1767 "A. Carrillo
RW CM" "Al Hilal"
1768 "N. Pope
GK" Burnley
1769 "K. Djidji
CB" "Torino F.C."
1770 "M. Niang
ST" "FC Girondins de Bordeaux"
1771 "J. Brooks
CB" "VfL Wolfsburg"
1772 "20
 S. Sanogo
CDM CM" "Al Ittihad"
1773 "C. Musonda
RW LW" Chelsea
1774 "B. Reynet
GK" "Dijon FCO"
1775 "W. Orban
CB" "RB Leipzig"
1776 "C. Taylor
LB" Burnley
1777 "M. Mandron
ST" "Crewe Alexandra"
1778 "J. Blackman
GK" "Huddersfield Town"
1779 "Clerc
LB LWB" "Levante Unión Deportiva"
1780 "Carvajal
RB" "Real Madrid CF"
1781 "Jorginho
CM" Chelsea
1782 "T. Savanier
CAM CM" "Montpellier Hérault SC"
1783 "Y. Aguemon
LM CAM" "Oud-Heverlee Leuven"
1784 "J. Willems
LB LM LWB" "SpVgg Greuther Fürth"
1785 "M. De Sciglio
RB LB" Juventus
1786 "Patric
CB RB RM" Lazio
1787 "21
 D. Babunski
CAM CM LM" "FC Viitorul Constanța"
1788 "K. Olsson
CM CDM" "RSC Anderlecht"
1789 "17
 P. Aase
CM" "Sogndal Fotball"
1790 "C. Walton
GK" "Ipswich Town"
1791 "Pablo Marí
CB" "Udinese Calcio"
1792 "M. Ginter
CB" "Borussia Mönchengladbach"
1793 "Marquinhos
CB" "Paris Saint-Germain"
1794 "T. Rogić
CM CAM" Celtic
1795 "S. Ajayi
CB" "West Bromwich Albion"
1796 "T. Lam
CB CDM" Finland
1797 "A. Gilbey
CM" "Charlton Athletic"
1798 "I. Cissé
CDM CM CB" Seraing
1799 "Y. Carrasco
LM" "Atlético de Madrid"
1800 "D. Payet
CAM LW" "Olympique de Marseille"
1801 "M. Benatia
CB" "Fatih Karagümrük S.K."
1802 "Vieirinha
LB RB CB" PAOK
1803 "Y. Sommer
GK" "Borussia Mönchengladbach"
1804 "Rui Patrício
GK" Roma
1805 "Miguel Veloso
CM CDM" "Hellas Verona"
1806 "Antunes
LB" "FC Paços de Ferreira"
1807 "E. Kawashima
GK" "RC Strasbourg Alsace"
1808 "I. Perišić
LM LWB" Inter
1809 "H. Nordtveit
CB CDM" "TSG Hoffenheim"
1810 "S. Gonther
CB" "FC Erzgebirge Aue"
1811 "J. Henderson
CM CDM" Liverpool
1812 "A. Ogbonna
CB" "West Ham United"
1813 "M. Moralez
CAM CM" "New York City FC"
1814 "J. Boateng
CB" "Olympique Lyonnais"
1815 "Fernando
CDM CM CB" "Sevilla FC"
1816 "19
 Y. Brahimi
LM" "FC Porto"
1817 "L. Bonucci
CB" Juventus
1818 "P. Gulácsi
GK" "RB Leipzig"
1819 "Ø. Nyland
GK" Reading
1820 "C. Evans
ST" "Preston North End"
1821 "J. Holland
CM CDM" "LASK Linz"
1822 "H. González
GK" "Fútbol Club Juárez"
1823 "S. Morrison
CB" "Cardiff City"
1824 "S. Johansen
CM CAM" "Queens Park Rangers"
1825 "Rafael Tolói
CB" Atalanta
1826 "J. McCarthy
CDM CM" Celtic
1827 "B. Ecuélé Manga
CB" "Dijon FCO"
1828 "F. Ayité
LM CAM ST" "Valenciennes FC"
1829 "M. Reus
CAM CF" "Borussia Dortmund"
1830 "K. Walker
RB" "Manchester City"
1831 "20
 S. Doumbia
ST" "FC Sion"
1832 "Y. Bolasie
LM LW" "Çaykur Rizespor"
1833 "J. Shelvey
CM CDM" "Newcastle United"
1834 "Coutinho
CAM LW CM" "Aston Villa"
1835 "T. Pukki
ST" "Norwich City"
1836 "21
 Douglas Costa
LM RW LW" "FC Bayern München"
1837 "M. Antonio
ST" "West Ham United"
1838 "21
 J. Kirchhoff
CB CDM" "KFC Uerdingen 05"
1839 "T. Arslan
CDM CM" "Udinese Calcio"
1840 "L. Hrádecký
GK" "Bayer 04 Leverkusen"
1841 "T. Rincón
CM CDM" "U.C. Sampdoria"
1842 "P. Mortensen
ST" "Aarhus GF"
1843 "M. Rits
CDM CM" "Club Brugge KV"
1844 "J. Edwards
RWB" "Plymouth Argyle"
1845 "N. Otamendi
CB" "SL Benfica"
1846 "Iago Aspas
ST" "RC Celta de Vigo"
1847 "S. Jung
RB" "Karlsruher SC"
1848 "K. Manolas
CB" "Olympiacos CFP"
1849 "H. Mkhitaryan
LW LM CM" Roma
1850 "C. Tosun
ST" Everton
1851 "A. Areola
GK" "West Ham United"
1852 "J. Larsen
LWB RWB" "Udinese Calcio"
1853 "M. Braithwaite
ST LW" "FC Barcelona"
1854 "R. Rodríguez
CB LB LWB" "Torino F.C."
1855 "R. Cabella
CAM" "Montpellier Hérault SC"
1856 "J. Norwood
ST" "Ipswich Town"
1857 "Y. El Arabi
ST" "Olympiacos CFP"
1858 "Adrián
GK" Liverpool
1859 "J. Bruma
CB" "Kasimpaşa SK"
1860 "13
 D. Beckham
CM RM" England
1861 "10
 D. Ashton
ST" England
1862 "18
 S. Eto'o
ST" "İttifak Holding Konyaspor"
1863 "15
 Xavi
CM" "FC Barcelona"
1864 "15
 Ronaldinho
CAM ST" "Gallos Blancos de Querétaro"
1865 "17
 Xabi Alonso
CDM CM" "FC Bayern München"
1866 "Pepe
CB" "FC Porto"
1867 "14
 Alex
CAM CF" Coritiba
1868 "14
 Cris
CB" "Club de Regatas Vasco da Gama"
1869 "Nani
LM LW" "Venezia FC"
1870 "18
 W. Sneijder
CAM" "OGC Nice"
1871 "D. Murphy
ST" "Waterford FC"
1872 "P. Skjelbred
CM CDM" "Rosenborg BK"
1873 "R. Snodgrass
CM RM" "Luton Town"
1874 "H. Herrera
CM" "Houston Dynamo"
1875 "Manuel Fernandes
CAM CDM LM" "Yukatel Kayserispor"
1876 "João Moutinho
CM" "Wolverhampton Wanderers"
1877 "Cesc Fàbregas
CM CAM CDM" "AS Monaco"
1878 "07
 H. Guemamdia
ST" Tunisia
1879 "Bebé
RM LM ST" "Rayo Vallecano"
1880 "21
 A. Valencia
RB CDM" "Gallos Blancos de Querétaro"
1881 "L. Freeman
CAM LM LW" Millwall
1882 "21
 R. Shotton
CB" "Melbourne Victory"
1883 "J. McArthur
CM" "Crystal Palace"
1884 "Ó. Trejo
CAM" "Rayo Vallecano"
1885 "H. Moreno
CB" "CF Monterrey"
1886 "Pedro León
RM CAM ST" "CF Fuenlabrada"
1887 "17
 F. Hološko
RM" "Sydney FC"
1888 "R. De Laet
RB CB LB" "Royal Antwerp FC"
1889 "M. Schneiderlin
CDM CM" "OGC Nice"
1890 "D. Payet
CAM LW" "Olympique de Marseille"
1891 "M. Benatia
CB" "Fatih Karagümrük S.K."
1892 "Vieirinha
LB RB CB" PAOK
1893 "K. Suzuki
LB LM" "Daegu FC"
1894 "M. López
ST" "CD Antofagasta"
1895 "Pedro Henrique
CB" "Unión La Calera"
1896 "Vaquero
CM" "Real Zaragoza"
1897 "H. Weckmann
ST" "Club Tijuana"
1898 "T. Silva
LB" "San Lorenzo de Almagro"
1899 "E. Brienza
CF CAM" "Vancouver Whitecaps FC"
1900 "G. Vidovic
CF CAM" "FC Bayern München"
1901 "R. Spaulding
LB" "New England Revolution"
1902 "A. Osorio
ST" "Vélez Sarsfield"
1903 "T. Rothe
LB" "Borussia Dortmund"
1904 "C. Egan-Riley
CB RB" "Manchester City"
1905 "N. Weiper
ST" "1. FSV Mainz 05"
1906 "Gabriel Pereira
RM RW" "New York City FC"
1907 "M. Gulpa
CAM RM LM" "Türkgücü München"
1908 "V. Kochergin
RM CF" "Raków Częstochowa"
1909 "S. Valk
CB" Feyenoord
1910 "M. Hidaka
CM" "Vissel Kobe"
1911 "G. Nardelli
CB" "Club Atlético Colón"
1912 "J. Ordoñez
CB" "Independiente del Valle"
1913 "L. Audoor
CM CDM" "Club Brugge KV"
1914 "A. Pavlovets
CB" "Warta Poznań"
1915 "B. Aguilar
CB RB" "Club Atlético Lanús"
1916 "Tiago Gouveia
RW" "SL Benfica"
1917 "M. Morello
CM" "Club Atlético Aldosivi"
1918 "He Xinjie
CM" "Guangzhou FC"
1919 "T. Antonoglou
LB LM" "Toronto FC"
1920 "H. Diarra
CDM" "RC Strasbourg Alsace"
1921 "R. Providence
LW RW ST" "Estoril Praia"
1922 "B. Gutiérrez
RB" Colo-Colo
1923 "S. Rahimi
LM ST" "Al Ain FC"
1924 "F. Alidou
LW" "Hamburger SV"
1925 "J. Boselli
ST RW" "CD Tondela"
1926 "E. Mbinga
CAM" "PEC Zwolle"
1927 "N. Bassette
ST" "Stade Malherbe Caen"
1928 "B. Barcola
ST LW" "Olympique Lyonnais"
1929 "S. Podgoreanu
RW" Spezia
1930 "J. Uzeda
LM" "Club Bolívar"
1931 "J. Wilson-Esbrand
LB" "Manchester City"
1932 "D. Strelec
ST" Spezia
1933 "O. Denham
CB RB" "Cardiff City"
1934 "K. Keïta
CDM CM" "FC Sion"
1935 "S. Bonnah
RB CB" "RB Leipzig"
1936 "L. Tchaouna
LM CAM RM" "Stade Rennais FC"
1937 "E. Jelert
RB LB" "F.C. København"
1938 "R. Bravo
ST" "Newell's Old Boys"
1939 "M. Campagnaro
LB" "Newell's Old Boys"
1940 "T. Morton
CM CDM" Liverpool
1941 "J. James
CM CAM" "Birmingham City"
1942 "D. Ouattara
ST LW" "FC Lorient"
1943 "R. Vucic
ST" "FK Austria Wien"
1944 "C. Riquelme
LB" "CD Everton de Viña del Mar"
1945 "N. Funez
ST" "Newell's Old Boys"
1946 "Biel Farrés
CB" "Girona FC"
1947 "C. Savage
CDM CM" "Manchester United"
1948 "L. Plange
ST" "Derby County"
1949 "E. Herrera
RB CB" "San Lorenzo de Almagro"
1950 "F. Kitsos
LM LB" "Olympiacos CFP"
1951 "Rubén Iranzo
CB RB" "Valencia CF"
1952 "Pubill
RB RWB" "Levante Unión Deportiva"
1953 "P. Bočkaj
LWB LB LM" "Dinamo Zagreb"
1954 "Lucas Laso
CB" "Real Oviedo"
1955 "Tomás Araújo
CB" "SL Benfica"
1956 "T. Kostadinov
CF CAM" "Piast Gliwice"
1957 "L. Hall
CM LWB LB" Chelsea
1958 "Peter
RW LW RB" "Real Madrid CF"
1959 "J. Njinmah
ST RW" "Borussia Dortmund II"
1960 "N. Zerhouni
RM CAM ST" "Al Hazem"
1961 "Fresneda
RB" "Real Valladolid CF"
1962 "E. İlkhan
CM RW CAM" "Beşiktaş JK"
1963 "K. Matsuki
CM" "FC Tokyo"
1964 "Eliton Júnior
CAM CM" "Varbergs BoIS FC"
1965 "Javi Guerra
CM" "Valencia CF"
1966 "D. Gomez
CM" "Club Necaxa"
1967 "N. Williams
ST" "9 de Octubre"
1968 "T. Iroegbunam
CDM CM" "Aston Villa"
1969 "Y. Sor
RW RM ST" "SK Slavia Praha"
1970 "F. Londoño
ST" "River Plate"
1971 "T. Tsuchiya
CDM CB" "Kashiwa Reysol"
1972 "Henrique Araújo
ST" "SL Benfica"
1973 "K. Suzuki
LB LM" "Daegu FC"
1974 "M. López
ST" "CD Antofagasta"
1975 "Pedro Henrique
CB" "Unión La Calera"
1976 "Vaquero
CM" "Real Zaragoza"
1977 "H. Weckmann
ST" "Club Tijuana"
1978 "T. Silva
LB" "San Lorenzo de Almagro"
1979 "E. Brienza
CF CAM" "Vancouver Whitecaps FC"
1980 "L. Breunig
LB CB CDM" "FC Würzburger Kickers"
1981 "M. de Wit
LM LB" "PEC Zwolle"
1982 "Herrero
ST" "Eintracht Frankfurt"
1983 "M. Huskovic
ST CAM" "FK Austria Wien"
1984 "A. Musi
LW CAM" "FCSB (Steaua)"
1985 "K. Hinokio
CAM CM" "Zagłębie Lubin"
1986 "S. Mabiliso
LB LM" "Kaizer Chiefs"
1987 "Thierno
LM RM" "CD Tenerife"
1988 "E. Bitshiabu
CB" "Paris Saint-Germain"
1989 "T. Baldé
RB RWB" "Le Havre AC"
1990 "G. Frimpong
LB LWB" "Moreirense FC"
1991 "Y. Cathline
LM CAM" "En Avant de Guingamp"
1992 "M. Beifus
CB" "FC St. Pauli"
1993 "Y. Mikhailov
CAM CM" "FC Schalke 04"
1994 "E. Fernandez
CB" "Peterborough United"
1995 "C. Chatzigavriel
GK" Cyprus
1996 "A. Camara
CAM LW RW" "Olympiacos CFP"
1997 "E. Uhlmann
CDM" "RB Leipzig"
1998 "L. Varaldo
ST" "Club Atlético Lanús"
1999 "M. Camara
CM" "Racing Club de Lens"
2000 "B. Kociubinski
CDM CM" "Estudiantes de La Plata"
2001 "J. Sarmiento
RM LM" "Brighton & Hove Albion"
2002 "N. Nadje
ST" "Angers SCO"
2003 "E. Daniel
RM LM" "Zagłębie Lubin"
2004 "O. Dasa
LW LM" "FC Arouca"
2005 "A. Milambo
CAM" Feyenoord
2006 "Gilson Tavares
CF ST" "Estoril Praia"
2007 "P. Sonn
CM" "SV Darmstadt 98"
2008 "E. Mancuso
RB" "Boca Juniors"
2009 "R. Huescas
LM CAM" "Cruz Azul"
2010 "V. Lind
ST" "FC Midtjylland"
2011 "Léo Chú
LM" "Seattle Sounders FC"
2012 "Vitinha
ST" "SC Braga"
2013 "M. Osifo
CB CDM RM" "KV Oostende"
2014 "M. Bardell
RB CB" "Derby County"
2015 "T. Hammond
LW RW CAM" "FK Austria Wien"
2016 "K. Campos
CM" "Club América"
2017 "Javi Serrano
CDM" "Atlético de Madrid"
2018 "B. Knight
RW" "Crewe Alexandra"
2019 "K. N'Mai
RM CAM" "Salford City"
2020 "N. Bitumazala
RB CDM" "Paris Saint-Germain"
2021 "L. Dobbin
ST" Everton
2022 "Recasens
CB" "RCD Espanyol de Barcelona"
2023 "A. Akurugu
LB" "Getafe CF"
2024 "D. Remie
GK" Feyenoord
2025 "Bernardo Vilar
CB" "IFK Göteborg"
2026 "R. Flueraş
ST LM" "UD Ibiza"
2027 "Iván Serrano
LB" "Burgos CF"
2028 "O. Offiah
CB RB" "Brighton & Hove Albion"
2029 "D. Nunumete
CM" "SC Heerenveen"
2030 "Kevin
LM RM" "Málaga CF"
2031 "M. Paskotši
CB RB" "Tottenham Hotspur"
2032 "N. Angulo
CAM RM ST" "LDU Quito"
2033 "Ureña
RM LM" "Girona FC"
2034 "FakePlayer
RB CB" "Valencia CF"
2035 "H. Camara
CB" "En Avant de Guingamp"
2036 "H. Diarra
CDM" "RC Strasbourg Alsace"
2037 "R. Providence
LW RW ST" "Estoril Praia"
2038 "B. Gutiérrez
RB" Colo-Colo
2039 "S. Rahimi
LM ST" "Al Ain FC"
2040 "Dário Essugo
CDM CM" "Sporting CP"
2041 "Nazinho
LWB LB" "Sporting CP"
2042 "E. Sutherland
RM CAM" "Atlético de Madrid"
2043 "F. Catarozzi
CM CDM" "Montevideo City Torque"
2044 "N. Kasanwirjo
CB CDM RB" "FC Groningen"
2045 "B. Traoré
CB CDM" "Stade Malherbe Caen"
2046 "E. Ávalos
RB" "Tigres U.A.N.L."
2047 "J. Guasone
CB" Patronato
2048 "G. Sithole
ST LM" Gillingham
2049 "Hou Yu
CM" "Guangzhou FC"
2050 "N. Mehssatou
RB LB" "KV Kortrijk"
2051 "K. Ichimori
ST CF" "Vegalta Sendai"
2052 "Z. Williams
CB LB" "Crewe Alexandra"
2053 "Cantero
ST RM" "Levante Unión Deportiva"
2054 "E. Darboe
CDM" Roma
2055 "B. Tomiak
CB" "1. FC Kaiserslautern"
2056 "L. Britton
ST" "Bristol City"
2057 "H. Keïta
CM" "Olympique Lyonnais"
2058 "E. Bove
CM" Roma
2059 "E. Dueñas
RB" "Los Angeles FC"
2060 "H. Matriciani
RB CB RWB" "FC Schalke 04"
2061 "C. Emeka
ST" "KAA Gent"
2062 "N. Persson
LWB LM" "Mjällby AIF"
2063 "B. Meijer
LB" "FC Groningen"
2064 "A. Richardson
CDM CM" "Le Havre AC"
2065 "J. Gorter
GK" Ajax
2066 "Y. Kallon
RW CF CAM" Genoa
2067 "K. Schulz
LB CB LM" "SK Austria Klagenfurt"
2068 "S. Beukema
CB" "AZ Alkmaar"
2069 "André Franco
CAM RW CM" "Estoril Praia"
2070 "Daniel Figueira
GK" "Estoril Praia"
2071 "D. Albu
CDM CM" "FC U Craiova 1948"
2072 "S. El Karouani
LB" "N.E.C. Nijmegen"
2073 "Olasagasti
CM CDM" "Real Sociedad B"
2074 "J. Blasco
RB CB" "Real Sociedad B"
2075 "Karrikaburu
ST" "Real Sociedad B"
2076 "S. Aas
CM" "Odds BK"
2077 "A. Soussi
LW ST CAM" "Royal Antwerp FC"
2078 "K. Karataş
LB LW ST" "Altay SK"
2079 "L. Vincent
LWB LB CB" Portsmouth
2080 "A. Goodwin
ST" "Newcastle Jets"
2081 "E. Leopold
CM CF" "SC Freiburg II"
2082 "S. Risch
LM" "SC Freiburg II"
2083 "M. Bouldini
ST" "CF Fuenlabrada"
2084 "J. Bauman
ST" "Independiente del Valle"
2085 "G. Kotsiras
RB" "Panathinaikos FC"
2086 "K. John
RW" "KRC Genk"
2087 "M. Dietz
CB" "SC Freiburg II"
2088 "A. Zorgane
CM CDM CAM" "Royal Charleroi S.C."
2089 "Vinicius Souza
CDM CB CM" "KV Mechelen"
2090 "T. Ernst
GK" "VfL Bochum 1848"
2091 "J. Tchatchoua
RWB RM" "Royal Charleroi S.C."
2092 "S. Andreou
CB" "Royal Charleroi S.C."
2093 "Fabio Blanco
RM" "FC Barcelona"
2094 "L. Kehl
ST CAM" "SC Freiburg II"
2095 "B. Okoh
CB" "FC Red Bull Salzburg"
2096 "V. Kovacević
GK" "Raków Częstochowa"
2097 "A. Prass
LM CM" "SK Sturm Graz"
2098 "P. Pomer
LM CF" "SV Ried"
2099 "J. Trafford
GK" "Bolton Wanderers"
2100 "D. Berisha
LM CAM" "FC Augsburg"
2101 "F. Oppegård
LB" PSV
2102 "André Amaro
CB" "Vitória de Guimarães"
2103 "C. Cîrjan
CM RM" Arsenal
2104 "O. Hutchinson
CAM RM" Arsenal
2105 "T. Lacoux
CDM CM" "FC Girondins de Bordeaux"
2106 "T. Troost
GK" Feyenoord
2107 "M. Watai
CAM RM CF" "Tokushima Vortis"
2108 "John Patrick
CAM ST CM" "Getafe CF"
2109 "I. Šaranić
CAM RW CM" "Dinamo Zagreb"
2110 "D. Guindo
LB" "FC Red Bull Salzburg"
2111 "Svensson
ST LM" "RCD Espanyol de Barcelona"
2112 "R. Zouhir
CDM CM" "Club de Foot Montréal"
2113 "K. Ferdinand
RB CB LB" "Club de Foot Montréal"
2114 "E. Wahi
ST LM" "Montpellier Hérault SC"
2115 "B. Oddei
RW" "U.S. Sassuolo Calcio"
2116 "S. van Ottele
CB CDM" "SC Heerenveen"
2117 "21
 I. Yüksek
CDM CM" "Fenerbahçe SK"
2118 "Jung Sang Bin
ST" "Grasshopper Club Zürich"
2119 "Y. Malede
ST LW" "KAA Gent"
2120 "L. Hartwig
ST" "VfL Bochum 1848"
2121 "Rodrigo Angelotti
ST" "Kashiwa Reysol"
2122 "G. Abrego
CM CDM" "Godoy Cruz"
2123 "A. Varela
CDM CM" "Boca Juniors"
2124 "J. Haliti
CB RB" "Mjällby AIF"
2125 "A. Kirk
CB" Arsenal
2126 "F. Kruspzky
LM CAM" "Arsenal de Sarandí"
2127 "B. Báez
ST" "Arsenal de Sarandí"
2128 "Iker Recio
CB LB" "Rayo Vallecano"
2129 "R. Street
ST" "Newport County"
2130 "C. Olivos
CB" "Universidad Técnica de Cajamarca"
2131 "E. Sevikyan
RM LM CAM" "Levante Unión Deportiva"
2132 "Arnau Martínez
RWB RB CB" "Girona FC"
2133 "R. Cabral
LW RW" "Club Atlético Huracán"
2134 "A. Gîdea
RW LW CM" "CFR Cluj"
2135 "Y. Ogawa
CDM CM" "Kashima Antlers"
2136 "M. Kerkez
LB" "AZ Alkmaar"
2137 "O. Cisneros
CAM CM ST" "Sporting Kansas City"
2138 "D. Fofana
ST" "Molde FK"
2139 "C. Abastoflor
LW" "Club Deportivo Guabirá"
2140 "J. Kisiel
CDM" "Legia Warszawa"
2141 "R. Ascone
CM" "FC Nordsjælland"
2142 "S. Adjei
ST" "Varbergs BoIS FC"
2143 "César García
RM RW" "Real Sporting de Gijón"
2144 "Cacá
CB CDM" "Tokushima Vortis"
2145 "C. Medina
CM" "Boca Juniors"
2146 "O. Zandén
LB" "IF Elfsborg"
2147 "N. Pacławski
ST" "Lech Poznań"
2148 "N. John
CAM CM RM" "Charlton Athletic"
2149 "O. Ba
GK" "FC Metz"
2150 "Hugo Bueno
LWB" "Wolverhampton Wanderers"
2151 "N. Lonwijk
CB" "Fortuna Sittard"
2152 "L. Richardson
ST" Burnley
2153 "M. Ramírez
LM ST" "Godoy Cruz"
2154 "A. Montgomery
LB LW" Aberdeen
